记录键,生成时间,指标,数值,文本值,单位,类别,状态等级,说明,快照键
history:202606172218:后台状态指数,2026-06-17 22:18:53 +0800,后台状态指数,2.0,黄色,级,系统,黄色,后台链路可运行，但存在待确认、待核验或待消费事项。,202606172218
history:202606172218:自动化总数,2026-06-17 22:18:53 +0800,自动化总数,6.0,6,条,自动化,黄色,,202606172218
history:202606172218:启用自动化,2026-06-17 22:18:53 +0800,启用自动化,2.0,2,条,自动化,黄色,,202606172218
history:202606172218:暂停自动化,2026-06-17 22:18:53 +0800,暂停自动化,4.0,4,条,自动化,黄色,,202606172218
history:202606172218:计划暂停自动化,2026-06-17 22:18:53 +0800,计划暂停自动化,4.0,4,条,自动化,黄色,,202606172218
history:202606172218:异常暂停自动化,2026-06-17 22:18:53 +0800,异常暂停自动化,0.0,0,条,自动化,黄色,,202606172218
history:202606172218:自动化错误,2026-06-17 22:18:53 +0800,自动化错误,0.0,0,条,自动化,黄色,,202606172218
history:202606172218:收件箱总数,2026-06-17 22:18:53 +0800,收件箱总数,33.0,33,条,收件箱,黄色,,202606172218
history:202606172218:低质量解析,2026-06-17 22:18:53 +0800,低质量解析,14.0,14,条,收件箱,黄色,,202606172218
history:202606172218:待读,2026-06-17 22:18:53 +0800,待读,12.0,12,条,流转区,黄色,,202606172218
history:202606172218:待沉淀,2026-06-17 22:18:53 +0800,待沉淀,8.0,8,条,流转区,黄色,,202606172218
history:202606172218:待沉淀可消费,2026-06-17 22:18:53 +0800,待沉淀可消费,0.0,0,条,流转区,黄色,,202606172218
history:202606172218:已有候选待确认,2026-06-17 22:18:53 +0800,已有候选待确认,5.0,5,条,流转区,黄色,,202606172218
history:202606172218:待补判断,2026-06-17 22:18:53 +0800,待补判断,3.0,3,条,流转区,黄色,,202606172218
history:202606172218:待核验,2026-06-17 22:18:53 +0800,待核验,15.0,15,条,流转区,黄色,,202606172218
history:202606172218:待确认候选,2026-06-17 22:18:53 +0800,待确认候选,6.0,6,条,确认,黄色,,202606172218
history:202606172218:前台反馈待消费,2026-06-17 22:18:53 +0800,前台反馈待消费,0.0,0,条,反馈,黄色,,202606172218
history:202606172218:已推送未反馈,2026-06-17 22:18:53 +0800,已推送未反馈,18.0,18,条,前台,黄色,,202606172218
history:202606172218:24小时冷却中,2026-06-17 22:18:53 +0800,24小时冷却中,5.0,5,条,前台,黄色,,202606172218
history:202606172218:工作区未提交改动,2026-06-17 22:18:53 +0800,工作区未提交改动,93.0,93,条,工程,黄色,,202606172218
